,precision,recall,f1-score,support
COVID,0.9878048780487805,0.9878048780487805,0.9878048780487805,164.0
NORMAL,0.9572192513368984,0.988950276243094,0.9728260869565217,181.0
PNEUMONIA,0.9827586206896551,0.95,0.9661016949152542,180.0
accuracy,0.9752380952380952,0.9752380952380952,0.9752380952380952,0.9752380952380952
macro avg,0.9759275833584447,0.9755850514306248,0.9755775533068521,525.0
weighted avg,0.9755299737449838,0.9752380952380952,0.9751996701407166,525.0
